[2026-04-24 15:50:12] {"frame": 1242, "count": 1, "detections": [{"label": "Fire", "conf": 0.86, "box": [112, 50, 191, 124]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1243, "count": 1, "detections": [{"label": "Fire", "conf": 0.61, "box": [113, 51, 190, 126]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1245, "count": 1, "detections": [{"label": "Fire", "conf": 0.57, "box": [124, 52, 174, 123]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1246, "count": 1, "detections": [{"label": "Fire", "conf": 0.55, "box": [121, 52, 175, 123]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1247, "count": 1, "detections": [{"label": "Fire", "conf": 0.82, "box": [107, 53, 186, 126]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1248, "count": 1, "detections": [{"label": "Fire", "conf": 0.65, "box": [101, 60, 190, 127]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1249, "count": 1, "detections": [{"label": "Fire", "conf": 0.84, "box": [107, 55, 188, 127]}], "time": "15:50:12"}
[2026-04-24 15:50:12] {"frame": 1250, "count": 1, "detections": [{"label": "Fire", "conf": 0.83, "box": [105, 54, 188, 127]}], "time": "15:50:12"}
[2026-04-24 15:50:13] {"frame": 1251, "count": 1, "detections": [{"label": "Fire", "conf": 0.62, "box": [104, 55, 191, 126]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1252, "count": 1, "detections": [{"label": "Fire", "conf": 0.61, "box": [103, 53, 190, 126]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1253, "count": 1, "detections": [{"label": "Fire", "conf": 0.76, "box": [104, 55, 189, 127]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1256, "count": 1, "detections": [{"label": "Fire", "conf": 0.69, "box": [89, 56, 194, 129]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1259, "count": 1, "detections": [{"label": "Fire", "conf": 0.69, "box": [96, 67, 180, 129]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1260, "count": 1, "detections": [{"label": "Fire", "conf": 0.66, "box": [89, 62, 181, 128]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1261, "count": 1, "detections": [{"label": "Fire", "conf": 0.68, "box": [88, 67, 179, 129]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1263, "count": 1, "detections": [{"label": "Fire", "conf": 0.52, "box": [86, 57, 175, 129]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1265, "count": 1, "detections": [{"label": "Fire", "conf": 0.6, "box": [91, 65, 181, 136]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1266, "count": 1, "detections": [{"label": "Fire", "conf": 0.71, "box": [92, 66, 169, 137]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1267, "count": 1, "detections": [{"label": "Fire", "conf": 0.63, "box": [91, 63, 170, 136]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1268, "count": 1, "detections": [{"label": "Fire", "conf": 0.61, "box": [90, 65, 171, 136]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1269, "count": 1, "detections": [{"label": "Fire", "conf": 0.82, "box": [90, 64, 173, 135]}], "time": "15:50:13"}
[2026-04-24 15:50:13] {"frame": 1270, "count": 1, "detections": [{"label": "Fire", "conf": 0.83, "box": [91, 64, 174, 137]}], "time": "15:50:13"}
[2026-04-24 15:50:14] {"frame": 1271, "count": 1, "detections": [{"label": "Fire", "conf": 0.77, "box": [85, 66, 174, 136]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1272, "count": 1, "detections": [{"label": "Fire", "conf": 0.79, "box": [86, 64, 174, 135]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1273, "count": 1, "detections": [{"label": "Fire", "conf": 0.86, "box": [94, 66, 172, 138]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1274, "count": 1, "detections": [{"label": "Fire", "conf": 0.64, "box": [94, 66, 174, 138]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1276, "count": 1, "detections": [{"label": "Fire", "conf": 0.51, "box": [83, 71, 182, 141]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1278, "count": 1, "detections": [{"label": "Fire", "conf": 0.63, "box": [90, 71, 168, 142]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1280, "count": 1, "detections": [{"label": "Fire", "conf": 0.73, "box": [85, 73, 172, 140]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1281, "count": 1, "detections": [{"label": "Fire", "conf": 0.87, "box": [93, 71, 173, 140]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1282, "count": 1, "detections": [{"label": "Fire", "conf": 0.9, "box": [92, 68, 174, 142]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1283, "count": 1, "detections": [{"label": "Fire", "conf": 0.83, "box": [92, 70, 172, 139]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1284, "count": 1, "detections": [{"label": "Fire", "conf": 0.72, "box": [90, 72, 173, 142]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1285, "count": 1, "detections": [{"label": "Fire", "conf": 0.68, "box": [89, 70, 173, 139]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1287, "count": 1, "detections": [{"label": "Fire", "conf": 0.67, "box": [79, 71, 181, 143]}], "time": "15:50:14"}
[2026-04-24 15:50:14] {"frame": 1288, "count": 1, "detections": [{"label": "Fire", "conf": 0.68, "box": [76, 71, 181, 141]}], "time": "15:50:14"}
[2026-04-24 15:50:15] {"frame": 1293, "count": 1, "detections": [{"label": "Fire", "conf": 0.81, "box": [81, 75, 175, 138]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1294, "count": 1, "detections": [{"label": "Fire", "conf": 0.82, "box": [82, 69, 177, 139]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1295, "count": 1, "detections": [{"label": "Fire", "conf": 0.57, "box": [85, 75, 156, 138]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1299, "count": 1, "detections": [{"label": "Fire", "conf": 0.61, "box": [90, 67, 175, 139]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1301, "count": 1, "detections": [{"label": "Fire", "conf": 0.78, "box": [90, 67, 168, 138]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1302, "count": 1, "detections": [{"label": "Fire", "conf": 0.77, "box": [88, 67, 170, 138]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1304, "count": 1, "detections": [{"label": "Fire", "conf": 0.69, "box": [82, 68, 172, 139]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1305, "count": 1, "detections": [{"label": "Fire", "conf": 0.79, "box": [82, 67, 171, 136]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1306, "count": 1, "detections": [{"label": "Fire", "conf": 0.86, "box": [90, 66, 171, 139]}], "time": "15:50:15"}
[2026-04-24 15:50:15] {"frame": 1307, "count": 1, "detections": [{"label": "Fire", "conf": 0.56, "box": [87, 68, 174, 137]}], "time": "15:50:15"}
[2026-04-24 15:50:16] {"frame": 1310, "count": 1, "detections": [{"label": "Fire", "conf": 0.65, "box": [73, 70, 175, 139]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1311, "count": 1, "detections": [{"label": "Fire", "conf": 0.77, "box": [87, 66, 166, 137]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1312, "count": 1, "detections": [{"label": "Fire", "conf": 0.86, "box": [78, 66, 169, 140]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1314, "count": 1, "detections": [{"label": "Fire", "conf": 0.52, "box": [102, 72, 168, 138]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1315, "count": 1, "detections": [{"label": "Fire", "conf": 0.61, "box": [80, 70, 170, 140]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1316, "count": 1, "detections": [{"label": "Fire", "conf": 0.63, "box": [85, 68, 168, 138]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1317, "count": 1, "detections": [{"label": "Fire", "conf": 0.7, "box": [84, 68, 168, 137]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1318, "count": 1, "detections": [{"label": "Fire", "conf": 0.75, "box": [84, 68, 167, 137]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1320, "count": 1, "detections": [{"label": "Fire", "conf": 0.55, "box": [81, 72, 178, 136]}], "time": "15:50:16"}
[2026-04-24 15:50:16] {"frame": 1321, "count": 1, "detections": [{"label": "Fire", "conf": 0.55, "box": [74, 68, 177, 137]}], "time": "15:50:16"}
